ID	A1.9.14.16	Br124.8.22.16	Br124.9.14.16	Br24.8.22.16	Br24.9.14.16	Br28.8.22.16	Br28.9.14.16	GW1.10.26.16	GW1.11.16.16	GW1.9.14.16	GW2.10.26.16	GW2.9.14.16	GW3.10.26.16	GW3.9.14.17	GW4.10.26.16	GW4.11.16.16	GW4.9.14.16	GW4A.10.26.16	GW5.10.26.16	GW5.11.16.16	GW5.9.14.16	GW6.10.26.16	GW6.11.16.16	GW6.9.14.16	GW6A.10.26.16	GW7.10.26.16	GW7.9.14.16	A2.1.25.17	A2.3.08.17	A2.4.20.17	A2.5.19.17	A2.6.26.17	A2.7.14.17	A2.9.20.17	Br124.1.25.17	Br124.12.05.16	Br124.3.08.17	Br124.4.20.17	Br124.5.19.17	Br124.6.26.17	Br124.7.14.17	Br24.1.25.17	Br24.12.05.16	Br24.4.20.17	Br24.5.19.17	Br24.6.26.17	Br24.7.14.17	Br28.1.25.17	Br28.12.05.16	Br28.3.08.17	Br28.4.20.17	Br28.5.19.17	Br28.6.26.17	Br28.7.14.17	Br28.9.20.17	Br29.1.25.17	Br29.12.05.16	Br29.3.08.17	Br29.4.20.17	Br29.5.19.17	Br29.6.26.17	Br29.7.14.17	GW1.6.20.17	GW1.8.2.17	GW1A.12.14.16	GW2.1.18.17	GW2.12.14.16	GW2.3.22.17	GW2.6.20.17	GW2.8.2.17	GW2A.3.22.17	GW4.6.20.17	GW4.8.2.17	GW4A.12.14.16	GW5.12.14.16	GW5.6.20.17	GW5.8.2.17	GW6.12.14.16	GW6.6.20.17	GW6.8.2.17	GW7.1.18.17	GW7.11.16.16	GW7.12.14.16	GW7.6.20.17	GW7.8.2.17	GW8.1.18.17	GW8.11.16.16	GW8.12.14.16	GW8.3.22.17	GW8.6.20.17	GW8.8.2.17	GWFS.3.22.17	Br124.9.20.17	Br24.9.20.17	Br29.9.20.17	GW1.11.21.17	GW1.9.20.17	GW2.11.21.17	GW2.9.20.17	GW4.11.21.17	GW4.9.20.17	GW5.11.21.17	GW5.9.20.17	GW6.11.21.17	GW6.9.20.17	GW7.11.21.17	GW7.9.20.17	GW8.11.21.17	GW8.9.20.17	Kingdom	Phylum	Class	Order	Family	Genus	Species
001234bb0af491845cc3ebfb53f74351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00095277	0	0	0	0.000249283	0	0	0	0	0.000406174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000137769	0	0	0	0	0	0	0	0	0	0	0	3.67E-05	0	0	0	9.92E-05	7.79E-05	0	0	0	0	0.000284666	0	0	7.34E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae		
001eeb863740c0980bbcfee9d3e21e0a	0	0	0	0.005293111	0.000541216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00209205	0.012210905	0.006894993	0.00676606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002116483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus	
005563204716212795594ecb2956b04d	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368849	0.000638623	0	0	0	0	0	0	0.000373925	0	0	0	0	0.000498486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42E-05	8.82E-05	0	0.00010393	0	0	Archaea	Woesearchaeota (DHVEG-6)	uncultured bacterium				
00767327676d18820ab41de600236920	0	0	0	0	0	0	0	0	0	0	0	0.000203196	0	0	0	0.000137311	0	0.000517218	0.000472803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.43E-05	0.000125591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05E-05	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae		
007bbd37703030e9b68192194bf5004c	0	0	0	0	0	0	0	0	0	0.000346072	0	0	0	0	0	0	0	0	0	0.000119017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000521921	0	0	0.002198708	0	0	0.002068499	0	0	0	0	0	0.000207657	0	0	0.000387969	0.000482406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000298881	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured organism		
007f5e5eace8162a1698424d86ac2a8f	0	0	0	0	0	0	0	0	0	0	0.00031235	0	0	0	0	0	0	0.000108888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000782881	0	0	0	0	0	0	0	0	0	0	0	0	0.000271216	0.00018642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181299	8.05E-05	3.42E-05	9.32E-05	0	0	0	0	0	0	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	uncultured bacterium		
00ae2ba97bd7aecf43faad529e92bf5f	0.006780864	0.003259654	0.002241152	0	0.000798938	0.004354565	0.000832755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001777731	0.001279902	0.000654135	0.001849007	0.000399812	0.002468961	0	0.000188819	0.000403326	0.000553719	0	0.001509628	0.000404275	0.000684584	0	0	0	0	0.000141291	0.000131125	0	0.000339982	0	0.000993339	0.001520442	0.00300787	0.000993285	0.000821345	0.000176888	0	0.000138249	0	0.001139722	0.003310035	0.004201441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001204745	0	0	0	0	0	0	0	0	0	0	0	0	0.000692205	4.25E-05	0.001271805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Verrucomicrobia	Verrucomicrobia Incertae Sedis	Unknown Order	Unknown Family	Candidatus Methylacidiphilum	
00c717901a2cfbcb027127ad5f7eadca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002667756	0	0	0	0	0.00019211	0	0.002315871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86E-05	0	0	0	0.00018038	0.001591153	0	0	0.002537511	0	0.000277717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae (Subgroup 4)		
00d1a049b72f48467bce33d782b91df5	0	0	0	0	0	0.001201986	0	0	0	0	0	0	0	0	0.000305428	0	0.000204839	0	0.000225144	0	0	0	0	0	0	0	0	0	0.000180268	0	0.000128008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000681896	0.000398781	0	0	0	0	0	0.000137419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.56E-05	0	Bacteria	Cyanobacteria	Chloroplast	Nephroselmis olivacea			
00d459b35bf598c5f417af41efea8c2d	0	0	0.000126125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.72E-05	3.84E-05	0	0	0	3.94E-05	0	0	0	0	0	0	0	0.000188985	0	0.000156546	0	0	0	0.000124161	8.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria						
